Games,Amnesia,Assassins Creed,Battlefield Hardline,Beyond: Two Souls,Burnout,Call of Duty: Black Ops,Candy Crush,Castle Crashers,Civilization,Clash of Clans,Counter-Strike,Crash Bandicoot,Crysis,Cuphead,Dark Souls 3,Destiny,Diablo,Dishonored,Dragon Age: Origins,Dragon Nest,Eve Online,Eyetoy: Play,Fahrenheit,Fall Out,Far Cry Primal,Final Fantasy,Flight Simulator X,For Honor,Fruit Ninja,Garry's Mod,Goat Simulator,Grand Theft Auto,Guitar Hero,Gwent,Half Life,Halo,Happy Wheels,Hearthstone,Heavy Rain,Horizon Zero Dawn,Just Dance,League of Legends,Life is Strange,MapleStory,Mass Effect,Minecraft,Mortal Kombat,Neopets,Niche,Overwatch,Pac-Man,Player Unknown Battlegrounds,Pokémon GO,Pokémon Red,Portal,Rainbow Six Siege,Ratchet & Clank,Resident Evil,Rocket League,Runescape,Snake,Sniper Elite,Sonic,Spore,Spyro the Dragon,Star Wars: Battlefront,Stardew Valley,Stellaris,Tabletop Simulator,Tekken 7,Terraria,The Elder Scrolls: Morrowwind,The Elder Scrolls: Oblivion,The Last of Us,The Witcher 3: Wild Hunt,Tomb Raider,Tony Hawk,World of Tanks,World of Warcraft,Zoo Tycoon,Guild Wars,Animal Crossing,Sims,Osu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game companies,Aces Studio,Activision,Atari,Bandai Namco Studios,Bethesda Softworks,BioWare,Blizzard Entertainment,Blue Fang Games,Bungie,CD Projekt RED,Chucklefish,Crytek,DICE,Electronic Arts,Epic Games,Frontier Developments,Game Freak,Guerilla Games,Insomniac Games,Jagex,LEGO Group,Mojang,Naughty Dog,Neversoft,Nintendo,Perfect World,Quantic Dream,Riot Games,Sega,Ubisoft,Valve ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brands,Acer,Adobe,Alienware,AMD,Apple,Asus,Audio Technica,Bose,CM Storm,Coolblue,Cooler Master,Corsair,Dell,DX Racer,eBay,Gigabyte,HP,HTC,Huawai,Intel,Kingston,Lenovo,LG,Logitech,Microsoft,Motorola ,Mountain Dew,MSI,Netflix,Nokia,NordVPN,NVIDIA,Packard Bell,Philips,Razer,Realtek,Roccat,SanDisk,Seagate,Sennheiser,Sony,SteelSeries,Toshiba,Trust,TunnelBear,Turtle Beach,Western Digital,Xiaomi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Devices,Nintendo DS Lite,Dreamcast,Game Boy Advance,Gamecube,Kinect,NEC,Nintendo 3DS XL,Nintendo 64,Nintendo Switch,Personal Computer,Playstation 4,PlayStation Portable,PlayStation Vita,Wii-U,Xbox 360,Xbox One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well-known People,Gabe,Ian & Anthony,Linus TechTips,Markiplier,Marzia,Pewdiepie,SivHD,Smosh,Sp4zie,TheFineBros,ThePeacePigeon,TheSyndicateProject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slang,AFK,Aim Down Sight,Checkpoint,Creeps,Cyka Blyat,Downloadable Content,Fuckboy Shack,GG EZ,GG WP,Influence Points,Loot Box,Meme,Minimap,Noob,Pay 2 Win,PC Master Race,Pushen,Scrub,Squad,Team Deathmatch,Turtle Formation,MOBA,Real Time Strategy,Siege,Third Person Shooter,ADC,AI,UI,HUD,Nerf,Buff,Byte,DC,DPS,Grinding,Hitbox,Lag,Meta,MMORPG,NPC,OP,PvE,PvP,Smurfen,Speedrun,Stealth,Vector,Zoning,BM,Boosted,RNG,Troll,AoE,Aggro,Crowd Control,ELO,KDA,Ragequit,Kek,MIA,LMG,Camper,XP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overig,E3,Gamescom,Dreamhack,Darude Sandstorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specific 
League of Legends 
eSports",Albus Nox,Aphromoo,Bang,Bjergsen,ClearLove,Cloud 9,Deficio,DoubleLift,Dyrus,Edward Gaming,Eefje Depoortere,Evil Geniuses,Faker,Febiven,Flash Wolves,Fnatic,Froggen,Gambit,GIGABYTE Marines,Huni,Imaqtpie,Kobe,Krepo,Longzhu Gaming,Moscow5,Ninjas in Pyjamas,Ocelote,Pawn,Peanut,Phreak,Quickshot,Reginald,Rivington,ROX Tigers,Samsung Galaxy,Sjokz,SKT1,Smeb,Snoopeh,sOAZ,Splyce,Svenskeren,Team Solo Mid,Trevor,Unicorns of Love,xPeke,YamatoCannon,YellowStar,Nightblue,Peepwood,Yanipir,Acclamator,Jimster,Prophet,Inochi,Moopey,Lustboy,Prolly,eSports,Team Liguid,CLG,Misfits,Team Dignitas,Sneaky ,Bunny FuFuu,Hai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specific 
League of Legends 
Champions",Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Ashe,Aurelion Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cho'Gath,Corki,Darius,Diana,Dr. Mundo,Draven,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,Jarvan IV,Jax,Jayce,Jhin,Jinx,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,Lee Sin,Leona,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,Master Yi,Miss Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Nidalee,Nocturne,Nunu,Olaf,Orianna,Orn,Pantheon,Poppy,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Syndra,Tahm Kench,Talon,Taric,Tailyah,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted Fate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Vel'Koz,Vi,Viktor,Vladimir,Volibear,Warwick,Wukong,Xayah,Xerath,Xin Zhao,Yasuo,Yorick,Zac,Zed,Ziggs,Zilean,Zyra
"Specific 
League of Legends 
Items",Abyssal Scepter,Aegis of the Legion,Aether Wisp,Amplifying Tome,Ancient Coin,Arcane Sweeper,Archangel's Staff,Ardent Censer,Athene's Unholy Grail,B. F. Sword,Bami's Cinder,Banner of Command,Banshee's Veil,Berserker's Greaves,Bilgewater Cutlass,Blade of the Ruined King,Blasting Wand,Boots of Mobility,Boots of Speed,Boots of Swiftness,Brawler's Gloves,Catalyst of Aeons,Caulfield's Warhammer,Chain Vest,Chalice of Harmony,Cloak of Agility,Cloth Armor,Control Ward,Corrupting Potion,Crystalline Bracer,Cull,Dagger,Dead Man's Plate,Deathfire Grasp,Death's Dance,Dervish Blade,Doran's Blade,Doran's Ring,Doran's Shield,Duskblade of Draktharr,Edge of Night,Elixir of Iron,Elixir of Sorcery,Elixir of Wrath,Essence Reaver,Executioner's Calling,Explorer's Ward,Eye of the Equinox,Eye of the Oasis,Eye of the Watchers,Face of the Mountain,Faerie Charm,Farsight Alteration,Fiendish Codex,Forbidden Idol,Frost Queen's Claim,Frostfang,Frozen Heart,Frozen Mallet,Giant Slayer,Giant's Belt,Glacial Shroud,Golden Transcendence,Guardian Angel,Guinsoo's Rageblade,Haunting Guise,Health Potion,Hexdrinker,Hextech GLP-800,Hextech Gunblade,Hextech Protobelt-01,Hextech Revolver,Hunter's Machete,Hunter's Potion,Hunter's Talisman,Iceborn Gauntlet,Infinity Edge,Ionian Boots of Lucidity,Jaurim's Fist,Kindlegem,Kircheis Shard,Knight's Vow,Last Whisper,Liandry's Torment,Lich Bane,Locket of the Iron Solari,Long Sword,Lord Dominik's Regards,Lord Van Damm's Pillager,Lost Chapter,Luden's Echo,Maw of Malmortius,Mejai's Soulstealer,Mercurial Scimitar,Mercury's Treads,Mikael's Crucible,Morellonomicon,Mortal Reminder,Muramana,Nashor's Tooth,Needlessly Large Rod,Negatron Cloak,Ninja Tabi,Nomad's Medallion,Oracle Alteration,Phage,Phantom Dancer,Pickaxe,Prototype Hex Core,Rabadon's Deathcap,Randuin's Omen,Rapid Firecannon,Ravenous Hydra,Recurve Bow,Redemption,Refillable Potion,Rejuvenation Bead,Relic Shield,Righteous Glory,Rod of Ages,Shurelya's,,,,,,,,,,,,,,,,,
